2012-03-13,662.0
2012-03-14,658.75
2012-03-15,669.0
2012-03-16,673.0
2012-03-19,663.5
2012-03-20,647.5
2012-03-21,642.0
2012-03-22,644.5
2012-03-23,646.5
2012-03-26,637.75
2012-03-27,630.75
2012-03-28,620.25
2012-03-29,604.0
2012-03-30,644.0
2012-04-02,655.0
2012-04-03,658.25
2012-04-04,656.75
2012-04-05,658.25
2012-04-09,649.0
2012-04-10,634.75
2012-04-11,636.0
2012-04-12,637.5
2012-04-13,629.25
2012-04-16,623.25
2012-04-17,616.75
2012-04-18,601.75
2012-04-19,621.0
2012-04-20,612.5
2012-04-23,622.5
2012-04-24,618.25
2012-04-25,611.0
2012-04-26,624.0
2012-04-27,653.0
2012-04-30,660.25
2012-05-01,659.75
2012-05-02,642.25
2012-05-03,650.75
2012-05-04,662.25
2012-05-07,656.0
2012-05-08,648.8
2012-05-09,620.85
2012-05-10,595.1
2012-05-11,581.0
2012-05-14,583.0
2012-05-15,597.25
2012-05-16,620.0
2012-05-17,625.0
2012-05-18,635.5
2012-05-21,633.0
2012-05-22,597.0
2012-05-23,603.5
2012-05-24,578.5
2012-05-25,578.5
2012-05-29,562.5
2012-05-30,559.5
2012-05-31,555.25
2012-06-01,551.5
2012-06-04,568.0
2012-06-05,567.5
2012-06-06,586.25
2012-06-07,594.0
2012-06-08,598.0
2012-06-11,592.0
2012-06-12,584.0
2012-06-13,592.5
2012-06-14,601.5
2012-06-15,579.5
2012-06-18,599.5
2012-06-19,612.5
2012-06-20,611.75
2012-06-21,586.5
2012-06-22,591.0
2012-06-25,631.0
2012-06-26,646.0
2012-06-27,649.5
2012-06-28,652.0
2012-06-29,672.5
2012-07-02,692.5
2012-07-03,718.75
2012-07-05,768.0
2012-07-06,743.25
2012-07-09,766.6
2012-07-10,744.0
2012-07-11,722.7
2012-07-12,739.25
2012-07-13,740.5
2012-07-16,776.75
2012-07-17,779.5
2012-07-18,795.0
2012-07-19,807.75
2012-07-20,824.5
2012-07-23,814.0
2012-07-24,790.0
2012-07-25,794.5
2012-07-26,781.25
2012-07-27,798.5
2012-07-30,820.0
2012-07-31,806.5
